index|name|length|gloss|char|word|postag
000045|S000015_P0008_T00|93|他 你 同学 是|他 是 你 同 学 吗 ？|他 是 你 同学 吗 ？|r v r n y w
000046|S000016_P0000_T00|93|他 我 同学 不是 朋友 是|他 不 是 我 的 同 学 ， 他 是 我 朋 友 。|他 不是 我 的 同学 ， 他 是 我 朋友 。|r c r u n w r v r n w
000047|S000016_P0004_T00|108|他 我 同学 不是 朋友 是|他 不 是 我 的 同 学 ， 他 是 我 朋 友 。|他 不是 我 的 同学 ， 他 是 我 朋友 。|r c r u n w r v r n w
000048|S000016_P0008_T00|130|他 我 同学 不是 朋友 是|他 不 是 我 的 同 学 ， 他 是 我 朋 友 。|他 不是 我 的 同学 ， 他 是 我 朋友 。|r c r u n w r v r n w
000049|S000017_P0000_T00|39|你 房子 人 多少|你 家 有 几 个 人 ？|你家 有 几 个人 ？|r v m n w
000050|S000017_P0008_T00|61|你 房子 人 多少|你 家 有 几 个 人 ？|你家 有 几 个人 ？|r v m n w
000051|S000018_P0000_T00|34|我 房子 人 3|我 家 有 三 个 人 。|我家 有 三 个人 。|r v m n w
000052|S000018_P0004_T00|41|我 房子 人 3|我 家 有 三 个 人 。|我家 有 三 个人 。|r v m n w
000053|S000018_P0008_T00|62|我 房子 人 3|我 家 有 三 个 人 。|我家 有 三 个人 。|r v m n w
000054|S000019_P0000_T00|47|你 女儿 年龄 多少|你 女 儿 几 岁 ？|你 女儿 几 岁 ？|r n m q w
000055|S000019_P0004_T00|55|你 女儿 年龄 多少|你 女 儿 几 岁 ？|你 女儿 几 岁 ？|r n m q w
000056|S000019_P0008_T00|102|你 女儿 年龄 多少|你 女 儿 几 岁 ？|你 女儿 几 岁 ？|r n m q w
000057|S000020_P0000_T00|54|他 今天 年龄 4|他 今 年 四 岁 。|他 今年 四 岁 。|r t m q w
000058|S000020_P0004_T00|52|他 今天 年龄 4|他 今 年 四 岁 。|他 今年 四 岁 。|r t m q w
000059|S000020_P0008_T00|90|他 今天 年龄 4|他 今 年 四 岁 。|他 今年 四 岁 。|r t m q w
000060|S000021_P0000_T00|52|李 老师 年龄 多少|李 老 师 多 大 ？|李 老师 多 大 ？|nr n d a w
000061|S000021_P0004_T00|55|李 老师 年龄 多少|李 老 师 多 大 ？|李 老师 多 大 ？|nr n d a w
000062|S000021_P0008_T00|81|李 老师 年龄 多少|李 老 师 多 大 ？|李 老师 多 大 ？|nr n d a w
000063|S000022_P0000_T00|48|他 今天 年龄 50|他 今 年 5 0 岁 。|他 今年 50 岁 。|r t m q w
000064|S000022_P0004_T00|50|他 今天 年龄 50|他 今 年 5 0 岁 。|他 今年 50 岁 。|r t m q w
000065|S000022_P0008_T00|87|他 今天 年龄 50|他 今 年 5 0 岁 。|他 今年 50 岁 。|r t m q w
000066|S000023_P0000_T00|32|他 女儿|他 女 儿 呢 ？|他 女儿 呢 ？|r n y w
000067|S000023_P0004_T00|33|他 女儿|他 女 儿 呢 ？|他 女儿 呢 ？|r n y w
000068|S000023_P0008_T00|57|他 女儿|他 女 儿 呢 ？|他 女儿 呢 ？|r n y w
000069|S000024_P0000_T00|67|他 女儿 今天 年龄 20|他 女 儿 今 年 2 0 岁 。|他 女儿 今年 20 岁 。|r n t m q w
000070|S000024_P0004_T00|77|他 女儿 今天 年龄 20|他 女 儿 今 年 2 0 岁 。|他 女儿 今年 20 岁 。|r n t m q w
000071|S000024_P0008_T00|126|他 女儿 今天 年龄 20|他 女 儿 今 年 2 0 岁 。|他 女儿 今年 20 岁 。|r n t m q w
000072|S000025_P0000_T00|44|你 手语 会|你 会 打 手 语 吗 ？|你 会 打手语 吗 ？|r v l y w
000073|S000025_P0004_T00|41|你 手语 会|你 会 打 手 语 吗 ？|你 会 打手语 吗 ？|r v l y w
000074|S000025_P0008_T00|67|你 手语 会|你 会 打 手 语 吗 ？|你 会 打手语 吗 ？|r v l y w
000075|S000026_P0000_T00|40|手语 我 会|我 会 打 手 语 。|我 会 打 手语 。|r v v n w
000076|S000026_P0004_T00|40|手语 我 会|我 会 打 手 语 。|我 会 打 手语 。|r v v n w
000077|S000026_P0008_T00|67|手语 我 会|我 会 打 手 语 。|我 会 打 手语 。|r v v n w
000078|S000027_P0000_T00|44|你 妈妈 手语 会|你 妈 妈 会 打 手 语 吗 ？|你 妈妈 会 打手语 吗 ？|r n v v y w
000079|S000027_P0004_T00|49|你 妈妈 手语 会|你 妈 妈 会 打 手 语 吗 ？|你 妈妈 会 打手语 吗 ？|r n v v y w
000080|S000027_P0008_T00|74|你 妈妈 手语 会|你 妈 妈 会 打 手 语 吗 ？|你 妈妈 会 打手语 吗 ？|r n v v y w
000081|S000028_P0000_T00|43|手语 他 不会|他 不 会 打 手 语 。|他 不 会 打 手语 。|r d v v n w
000082|S000028_P0004_T00|37|手语 他 不会|他 不 会 打 手 语 。|他 不 会 打 手语 。|r d v v n w
000083|S000028_P0008_T00|63|手语 他 不会|他 不 会 打 手 语 。|他 不 会 打 手语 。|r d v v n w
000084|S000029_P0000_T00|72|中国 菜 味道 好|中 国 菜 好 吃 吗 ？|中国 菜 好吃 吗 ？|ns n a y w
000085|S000029_P0004_T00|50|中国 菜 味道 好|中 国 菜 好 吃 吗 ？|中国 菜 好吃 吗 ？|ns n a y w
000086|S000029_P0008_T00|85|中国 菜 味道 好|中 国 菜 好 吃 吗 ？|中国 菜 好吃 吗 ？|ns n a y w
000087|S000030_P0000_T00|62|中国 菜 味道 好|中 国 菜 很 好 吃 。|中国 菜 很 好吃 。|ns n d a w
000088|S000030_P0004_T00|47|中国 菜 味道 好|中 国 菜 很 好 吃 。|中国 菜 很 好吃 。|ns n d a w
000089|S000030_P0008_T00|79|中国 菜 味道 好|中 国 菜 很 好 吃 。|中国 菜 很 好吃 。|ns n d a w
000090|S000031_P0000_T00|61|中国 菜 你 炒 会|你 会 做 中 国 菜 吗 ？|你 会 做 中国 菜 吗 ？|r v v ns n y w
000091|S000031_P0004_T00|73|中国 菜 你 炒 会|你 会 做 中 国 菜 吗 ？|你 会 做 中国 菜 吗 ？|r v v ns n y w
000092|S000031_P0008_T00|114|中国 菜 你 炒 会|你 会 做 中 国 菜 吗 ？|你 会 做 中国 菜 吗 ？|r v v ns n y w
000093|S000032_P0000_T00|80|中国 菜 我 炒 不会|我 不 会 做 中 国 菜 。|我 不 会 做 中国 菜 。|r d v v ns n w
000094|S000032_P0004_T00|90|中国 菜 我 炒 不会|我 不 会 做 中 国 菜 。|我 不 会 做 中国 菜 。|r d v v ns n w
000095|S000032_P0008_T00|135|中国 菜 我 炒 不会|我 不 会 做 中 国 菜 。|我 不 会 做 中国 菜 。|r d v v ns n w
000096|S000033_P0000_T00|57|你 名字 写 会|你 会 写 你 的 名 字 吗 ？|你 会 写 你 的 名字 吗 ？|r v v r u n y w
000097|S000033_P0004_T00|56|你 名字 写 会|你 会 写 你 的 名 字 吗 ？|你 会 写 你 的 名字 吗 ？|r v v r u n y w
000098|S000033_P0008_T00|107|你 名字 写 会|你 会 写 你 的 名 字 吗 ？|你 会 写 你 的 名字 吗 ？|r v v r u n y w
000099|S000034_P0000_T00|58|我 名字 写 会 会|我 会 写 我 的 名 字 。|我 会 写 我 的 名字 。|r v v r u n w
000100|S000034_P0004_T00|50|我 名字 写 会 会|我 会 写 我 的 名 字 。|我 会 写 我 的 名字 。|r v v r u n w
000101|S000034_P0008_T00|97|我 名字 写 会 会|我 会 写 我 的 名 字 。|我 会 写 我 的 名字 。|r v v r u n w
000102|S000035_P0000_T00|109|中国 菜 我 妈妈 炒 不会|我 妈 妈 不 会 做 中 国 菜 。|我 妈妈 不 会 做 中国 菜 。|r n d v v ns n w
000103|S000035_P0004_T00|91|中国 菜 我 妈妈 炒 不会|我 妈 妈 不 会 做 中 国 菜 。|我 妈妈 不 会 做 中国 菜 。|r n d v v ns n w
000104|S000035_P0008_T00|176|中国 菜 我 妈妈 炒 不会|我 妈 妈 不 会 做 中 国 菜 。|我 妈妈 不 会 做 中国 菜 。|r n d v v ns n w
000105|S000036_P0000_T00|76|中国 菜 妈妈 炒 不好吃|我 妈 妈 做 的 中 国 菜 不 好 吃 。|我 妈妈 做 的 中国 菜 不 好吃 。|r n v u ns n d a w
000106|S000036_P0004_T00|65|中国 菜 妈妈 炒 不好吃|我 妈 妈 做 的 中 国 菜 不 好 吃 。|我 妈妈 做 的 中国 菜 不 好吃 。|r n v u ns n d a w
000107|S000036_P0008_T00|126|中国 菜 妈妈 炒 不好吃|我 妈 妈 做 的 中 国 菜 不 好 吃 。|我 妈妈 做 的 中国 菜 不 好吃 。|r n v u ns n d a w
000108|S000037_P0000_T00|78|中国 菜 妈妈 炒 味道 好|我 妈 妈 做 的 中 国 菜 很 好 吃 。|我 妈妈 做 的 中国 菜 很 好吃 。|r n v u ns n d a w
000109|S000037_P0004_T00|66|中国 菜 妈妈 炒 味道 好|我 妈 妈 做 的 中 国 菜 很 好 吃 。|我 妈妈 做 的 中国 菜 很 好吃 。|r n v u ns n d a w
000110|S000037_P0008_T00|139|中国 菜 妈妈 炒 味道 好|我 妈 妈 做 的 中 国 菜 很 好 吃 。|我 妈妈 做 的 中国 菜 很 好吃 。|r n v u ns n d a w
000111|S000038_P0000_T00|37|问 今天 多少|请 问 ， 今 天 几 号 ？|请问 ， 今天 几 号 ？|v w t m q w
000112|S000038_P0004_T00|39|问 今天 多少|请 问 ， 今 天 几 号 ？|请问 ， 今天 几 号 ？|v w t m q w
000113|S000038_P0008_T00|63|问 今天 多少|请 问 ， 今 天 几 号 ？|请问 ， 今天 几 号 ？|v w t m q w
000114|S000039_P0000_T00|40|今天 十 1|今 天 十 月 一 日 。|今天 十月 一日 。|t t t w
000115|S000039_P0004_T00|36|今天 十 1|今 天 十 月 一 日 。|今天 十月 一日 。|t t t w
000116|S000039_P0008_T00|59|今天 十 1|今 天 十 月 一 日 。|今天 十月 一日 。|t t t w
000117|S000040_P0000_T00|41|今天 星期 多少|今 天 星 期 几 ？|今天 星期几 ？|t t w
000118|S000040_P0004_T00|42|今天 星期 多少|今 天 星 期 几 ？|今天 星期几 ？|t t w
000119|S000040_P0008_T00|66|今天 星期 多少|今 天 星 期 几 ？|今天 星期几 ？|t t w
000120|S000041_P0000_T00|21|星期 1|星 期 一 。|星期一 。|t w
000121|S000041_P0004_T00|23|星期 1|星 期 一 。|星期一 。|t w
000122|S000041_P0008_T00|37|星期 1|星 期 一 。|星期一 。|t w
000123|S000042_P0000_T00|36|昨天 日期|昨 天 是 几 月 几 日 ？|昨天 是 几月 几日 ？|t v r l w
000124|S000042_P0004_T00|39|昨天 日期|昨 天 是 几 月 几 日 ？|昨天 是 几月 几日 ？|t v r l w
000125|S000042_P0008_T00|68|昨天 日期|昨 天 是 几 月 几 日 ？|昨天 是 几月 几日 ？|t v r l w
000126|S000043_P0000_T00|75|昨天 十 1 星期 1|昨 天 是 十 月 一 日 ， 星 期 一 。|昨天 是 十月 一日 ， 星期一 。|t v t t w t w
000127|S000043_P0004_T00|63|昨天 十 1 星期 1|昨 天 是 十 月 一 日 ， 星 期 一 。|昨天 是 十月 一日 ， 星期一 。|t v t t w t w
000128|S000043_P0008_T00|99|昨天 十 1 星期 1|昨 天 是 十 月 一 日 ， 星 期 一 。|昨天 是 十月 一日 ， 星期一 。|t v t t w t w
000129|S000044_P0000_T00|34|明天 日期|明 天 几 月 几 日 ？|明天 几月 几日 ？|t t t w
000130|S000044_P0004_T00|36|明天 日期|明 天 几 月 几 日 ？|明天 几月 几日 ？|t t t w
000131|S000044_P0008_T00|64|明天 日期|明 天 几 月 几 日 ？|明天 几月 几日 ？|t t t w
000132|S000045_P0000_T00|55|明天 6 1 星期 1|明 天 是 六 月 一 日 ， 星 期 一 。|明天 是 六月 一日 ， 星期一 。|t v t t w t w
000133|S000045_P0004_T00|53|明天 6 1 星期 1|明 天 是 六 月 一 日 ， 星 期 一 。|明天 是 六月 一日 ， 星期一 。|t v t t w t w
000134|S000045_P0008_T00|95|明天 6 1 星期 1|明 天 是 六 月 一 日 ， 星 期 一 。|明天 是 六月 一日 ， 星期一 。|t v t t w t w
000135|S000046_P0000_T00|76|明天 星期 6 学校 你 去|明 天 星 期 六 ， 你 去 学 校 吗 ？|明天 星期六 ， 你 去 学校 吗 ？|t t w r v n y w
000136|S000046_P0004_T00|66|明天 星期 6 学校 你 去|明 天 星 期 六 ， 你 去 学 校 吗 ？|明天 星期六 ， 你 去 学校 吗 ？|t t w r v n y w
000137|S000046_P0008_T00|118|明天 星期 6 学校 你 去|明 天 星 期 六 ， 你 去 学 校 吗 ？|明天 星期六 ， 你 去 学校 吗 ？|t t w r v n y w
000138|S000047_P0000_T00|52|去 学校 我 踢足球|我 去 学 校 踢 足 球 。|我 去 学校 踢 足球 。|r v n v n w
000139|S000047_P0004_T00|51|去 学校 我 踢足球|我 去 学 校 踢 足 球 。|我 去 学校 踢 足球 。|r v n v n w
000140|S000047_P0008_T00|89|去 学校 我 踢足球|我 去 学 校 踢 足 球 。|我 去 学校 踢 足球 。|r v n v n w
000141|S000048_P0000_T00|35|你 去 做 什么|你 去 做 什 么 ？|你 去 做 什么 ？|r v v r w
000142|S000048_P0004_T00|39|你 去 做 什么|你 去 做 什 么 ？|你 去 做 什么 ？|r v v r w
000143|S000048_P0008_T00|58|你 去 做 什么|你 去 做 什 么 ？|你 去 做 什么 ？|r v v r w
000144|S000049_P0000_T00|51|我 学校 看 书 1|我 去 学 校 看 书 。|我 去 学校 看书 。|r v n v w
000145|S000049_P0004_T00|55|我 学校 看 书 1|我 去 学 校 看 书 。|我 去 学校 看书 。|r v n v w
000146|S000049_P0008_T00|83|我 学校 看 书 1|我 去 学 校 看 书 。|我 去 学校 看书 。|r v n v w
000147|S000050_P0000_T00|33|你 想 喝 什么|你 想 喝 什 么 ？|你 想 喝 什么 ？|r v v r w
000148|S000050_P0004_T00|60|你 想 喝 什么|你 想 喝 什 么 ？|你 想 喝 什么 ？|r v v r w
000149|S000050_P0008_T00|44|你 想 喝 什么|你 想 喝 什 么 ？|你 想 喝 什么 ？|r v v r w
000150|S000051_P0000_T00|50|我 想 茶叶 喝|我 想 喝 茶 。|我 想 喝茶 。|r v v w
000151|S000051_P0004_T00|79|我 想 茶叶 喝|我 想 喝 茶 。|我 想 喝茶 。|r v v w
000152|S000051_P0008_T00|84|我 想 茶叶 喝|我 想 喝 茶 。|我 想 喝茶 。|r v v w
000153|S000052_P0000_T00|31|你 想 吃 什么|你 想 吃 什 么 ？|你 想 吃 什么 ？|r v v r w
000154|S000052_P0004_T00|50|你 想 吃 什么|你 想 吃 什 么 ？|你 想 吃 什么 ？|r v v r w
000155|S000052_P0008_T00|57|你 想 吃 什么|你 想 吃 什 么 ？|你 想 吃 什么 ？|r v v r w
000156|S000053_P0000_T00|38|我 想 饭 吃|我 想 吃 米 饭 。|我 想 吃 米饭 。|r v v n w
000157|S000053_P0008_T00|51|我 想 饭 吃|我 想 吃 米 饭 。|我 想 吃 米饭 。|r v v n w
000158|S000054_P0000_T00|56|今天 我 想 面|今 天 我 想 吃 面 条 。|今天 我 想 吃 面条 。|t r v v n w
000159|S000054_P0008_T00|93|今天 我 想 面|今 天 我 想 吃 面 条 。|今天 我 想 吃 面条 。|t r v v n w
000160|S000055_P0000_T00|59|下午 我 想 去 书 房子|下 午 我 想 去 图 书 馆 。|下午 我 想 去 图书馆 。|t r v v n w
000161|S000055_P0004_T00|62|下午 我 想 去 书 房子|下 午 我 想 去 图 书 馆 。|下午 我 想 去 图书馆 。|t r v v n w
000162|S000055_P0008_T00|104|下午 我 想 去 书 房子|下 午 我 想 去 图 书 馆 。|下午 我 想 去 图书馆 。|t r v v n w
000163|S000056_P0000_T00|38|下午 你 想 做 什么|下 午 你 想 做 什 么 ？|下午 你 想 做 什么 ？|t r v v r w
000164|S000056_P0004_T00|46|下午 你 想 做 什么|下 午 你 想 做 什 么 ？|下午 你 想 做 什么 ？|t r v v r w
000165|S000056_P0008_T00|80|下午 你 想 做 什么|下 午 你 想 做 什 么 ？|下午 你 想 做 什么 ？|t r v v r w
000166|S000057_P0000_T00|50|下午 我 想 超市|下 午 我 想 去 超 市 。|下午 我 想 去 超市 。|t r v v n w
000167|S000057_P0004_T00|46|下午 我 想 超市|下 午 我 想 去 超 市 。|下午 我 想 去 超市 。|t r v v n w
000168|S000057_P0008_T00|90|下午 我 想 超市|下 午 我 想 去 超 市 。|下午 我 想 去 超市 。|t r v v n w
000169|S000058_P0000_T00|44|你 想 买 什么|你 想 买 什 么 ？|你 想 买 什么 ？|r v v r w
000170|S000058_P0004_T00|38|你 想 买 什么|你 想 买 什 么 ？|你 想 买 什么 ？|r v v r w
000171|S000058_P0008_T00|69|你 想 买 什么|你 想 买 什 么 ？|你 想 买 什么 ？|r v v r w
000172|S000059_P0000_T00|60|我 想 买 喝 1|我 想 买 一 个 杯 子 。|我 想 买 一个 杯子 。|r v v m n w
000173|S000059_P0004_T00|50|我 想 买 喝 1|我 想 买 一 个 杯 子 。|我 想 买 一个 杯子 。|r v v m n w
000174|S000059_P0008_T00|87|我 想 买 喝 1|我 想 买 一 个 杯 子 。|我 想 买 一个 杯子 。|r v v m n w
000175|S000060_P0000_T00|36|喝 这 元 十|这 个 杯 子 十 块 钱 。|这个 杯子 十 块钱 。|r n m q w
000176|S000060_P0004_T00|57|喝 这 元 十|这 个 杯 子 十 块 钱 。|这个 杯子 十 块钱 。|r n m q w
000177|S000060_P0008_T00|60|喝 这 元 十|这 个 杯 子 十 块 钱 。|这个 杯子 十 块钱 。|r n m q w
000178|S000061_P0000_T00|55|我 想 手语 学 学|我 想 学 手 语 。|我 想 学 手语 。|r v v n w
000179|S000061_P0004_T00|52|我 想 手语 学 学|我 想 学 手 语 。|我 想 学 手语 。|r v v n w
000180|S000061_P0008_T00|87|我 想 手语 学 学|我 想 学 手 语 。|我 想 学 手语 。|r v v n w
000181|S000062_P0000_T00|82|明天 去 学校 我 想 看 书|明 天 我 想 去 学 校 看 书 。|明天 我 想 去 学校 看书 。|t r v v n v w
000182|S000062_P0004_T00|39|明天 去 学校 我 想 看 书|明 天 我 想 去 学 校 看 书 。|明天 我 想 去 学校 看书 。|t r v v n v w
000183|S000062_P0008_T00|127|明天 去 学校 我 想 看 书|明 天 我 想 去 学 校 看 书 。|明天 我 想 去 学校 看书 。|t r v v n v w
000184|S000063_P0000_T00|83|你们 学校 老师 人 多少|你 们 学 校 有 多 少 个 老 师 ？|你们 学校 有 多少 个 老师 ？|r n v m q n w
000185|S000063_P0004_T00|82|你们 学校 老师 人 多少|你 们 学 校 有 多 少 个 老 师 ？|你们 学校 有 多少 个 老师 ？|r n v m q n w
000186|S000063_P0008_T00|112|你们 学校 老师 人 多少|你 们 学 校 有 多 少 个 老 师 ？|你们 学校 有 多少 个 老师 ？|r n v m q n w
000187|S000064_P0000_T00|221|你们 学校 学生 人 多少|你 们 学 校 有 多 少 个 学 生 ？|你们 学校 有 多少 个 学生 ？|r n v m q n w
000188|S000064_P0004_T00|67|你们 学校 学生 人 多少|你 们 学 校 有 多 少 个 学 生 ？|你们 学校 有 多少 个 学生 ？|r n v m q n w
000189|S000064_P0008_T00|130|你们 学校 学生 人 多少|你 们 学 校 有 多 少 个 学 生 ？|你们 学校 有 多少 个 学生 ？|r n v m q n w
000190|S000065_P0000_T00|25|狗 在 哪|小 狗 在 哪 儿 ？|小狗 在 哪儿 ？|n v r w
000191|S000065_P0004_T00|31|狗 在 哪|小 狗 在 哪 儿 ？|小狗 在 哪儿 ？|n v r w
000192|S000065_P0008_T00|47|狗 在 哪|小 狗 在 哪 儿 ？|小狗 在 哪儿 ？|n v r w
000193|S000066_P0000_T00|47|狗 房子 在|小 狗 在 家 里 。|小狗 在 家里 。|n p s w
000194|S000066_P0004_T00|43|狗 房子 在|小 狗 在 家 里 。|小狗 在 家里 。|n p s w
000195|S000066_P0008_T00|80|狗 房子 在|小 狗 在 家 里 。|小狗 在 家里 。|n p s w
000196|S000067_P0000_T00|41|小 猫 在 哪|小 猫 在 哪 儿 ？|小 猫 在 哪儿 ？|a n p r w
000197|S000067_P0004_T00|39|小 猫 在 哪|小 猫 在 哪 儿 ？|小 猫 在 哪儿 ？|a n p r w
000198|S000067_P0008_T00|76|小 猫 在 哪|小 猫 在 哪 儿 ？|小 猫 在 哪儿 ？|a n p r w
000199|S000068_P0000_T00|195|桌子 下 小 猫 在|小 猫 在 桌 子 下 面 。|小 猫 在 桌子 下面 。|a n p n f w
000200|S000068_P0004_T00|60|桌子 下 小 猫 在|小 猫 在 桌 子 下 面 。|小 猫 在 桌子 下面 。|a n p n f w
000201|S000068_P0008_T00|121|桌子 下 小 猫 在|小 猫 在 桌 子 下 面 。|小 猫 在 桌子 下面 。|a n p n f w
000202|S000069_P0000_T00|40|爸爸 房子 在|你 爸 爸 在 家 吗 ？|你 爸爸 在家 吗 ？|r n v y w
000203|S000069_P0004_T00|41|爸爸 房子 在|你 爸 爸 在 家 吗 ？|你 爸爸 在家 吗 ？|r n v y w
000204|S000069_P0008_T00|79|爸爸 房子 在|你 爸 爸 在 家 吗 ？|你 爸爸 在家 吗 ？|r n v y w
000205|S000070_P0000_T00|17|房子 在 不|不 在 家 。|不 在家 。|d v w
000206|S000070_P0004_T00|31|房子 在 不|不 在 家 。|不 在家 。|d v w
000207|S000070_P0008_T00|45|房子 在 不|不 在 家 。|不 在家 。|d v w
000208|S000071_P0000_T00|29|他 在 哪|他 在 哪 儿 呢 ？|他 在 哪儿 呢 ？|r p r y w
000209|S000071_P0004_T00|27|他 在 哪|他 在 哪 儿 呢 ？|他 在 哪儿 呢 ？|r p r y w
000210|S000071_P0008_T00|56|他 在 哪|他 在 哪 儿 呢 ？|他 在 哪儿 呢 ？|r p r y w
000211|S000072_P0000_T00|45|他 医院 在|他 在 医 院 。|他 在 医院 。|r p n w
000212|S000072_P0004_T00|45|他 医院 在|他 在 医 院 。|他 在 医院 。|r p n w
000213|S000072_P0008_T00|80|他 医院 在|他 在 医 院 。|他 在 医院 。|r p n w
000214|S000073_P0000_T00|38|他 工作 在 哪|他 在 哪 里 工 作 ？|他 在 哪里 工作 ？|r p r v w
000215|S000073_P0004_T00|40|他 工作 在 哪|他 在 哪 里 工 作 ？|他 在 哪里 工作 ？|r p r v w
000216|S000073_P0008_T00|89|他 工作 在 哪|他 在 哪 里 工 作 ？|他 在 哪里 工作 ？|r p r v w
000217|S000074_P0000_T00|41|我 学校 工作|我 在 学 校 工 作 。|我 在 学校 工作 。|r p n vn w
000218|S000074_P0004_T00|45|我 学校 工作|我 在 学 校 工 作 。|我 在 学校 工作 。|r p n vn w
000219|S000074_P0008_T00|77|我 学校 工作|我 在 学 校 工 作 。|我 在 学校 工作 。|r p n vn w
000220|S000075_P0000_T00|60|我 儿子 工作 在 哪|我 儿 子 在 哪 儿 工 作 ？|我 儿子 在 哪儿 工作 ？|r n p r vn w
000221|S000075_P0004_T00|57|我 儿子 工作 在 哪|我 儿 子 在 哪 儿 工 作 ？|我 儿子 在 哪儿 工作 ？|r n p r vn w
